name,archetype,avg_bat_speed,squared_up_per_bat_contact,swing_length,hard_swing_rate,blast_per_bat_contact,distance
"Baldwin, Drake",Power over Contact,75.365124885,0.3224431818181818,7.321985093,0.5715846994535521,0.1875,0.491
"Realmuto, J.T.",Power over Contact,73.095818994,0.3433734939759036,7.409873313,0.3328173374613002,0.1385542168674698,0.546
"Carroll, Corbin",Power over Contact,75.399363095,0.3380681818181818,7.455855464,0.576307363927428,0.1803977272727272,0.631
"Abreu, Wilyer",Power over Contact,73.81698346,0.3189122373300371,7.184093375,0.3765490943755958,0.1557478368355995,0.641
"García Jr., Luis",Power over Contact,74.232664318,0.3289855072463768,7.42919134,0.4412811387900356,0.1927536231884058,0.663
